ID,Severity,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Weather_Condition
41,2,Dayton,Montgomery,OH,23.0,12.4,86.0,29.71,10.4,Light Snow
42,2,Sabina,Clinton,OH,19.9,6.7,89.0,29.75,13.8,Light Snow
43,3,Columbus,Franklin,OH,25.0,15.5,88.0,29.65,9.2,Light Snow
44,3,Dayton,Montgomery,OH,23.0,10.1,88.0,29.66,15.0,Light Snow
45,3,Columbus,Franklin,OH,25.0,15.5,88.0,29.65,9.2,Light Snow
46,2,Columbus,Franklin,OH,26.1,15.0,84.0,29.63,12.7,Light Snow
47,3,Columbus,Franklin,OH,24.8,16.1,86.0,29.64,8.1,Light Snow
48,2,Dayton,Montgomery,OH,23.0,11.7,86.0,29.68,11.5,Light Snow
49,3,Dayton,Montgomery,OH,23.0,11.7,86.0,29.68,11.5,Light Snow
50,2,Dayton,Montgomery,OH,21.9,9.8,92.0,29.71,12.7,Light Snow
51,2,Dayton,Montgomery,OH,21.9,9.8,92.0,29.71,12.7,Light Snow
52,3,Dayton,Montgomery,OH,21.9,9.8,92.0,29.71,12.7,Light Snow
53,3,Columbus,Franklin,OH,21.2,8.3,93.0,29.66,13.8,Light Snow
54,3,Dayton,Montgomery,OH,21.0,10.6,85.0,29.69,9.2,Light Snow
55,2,Goshen,Clermont,OH,21.0,10.6,93.0,29.73,9.2,Light Snow
56,2,Dayton,Montgomery,OH,21.9,9.8,92.0,29.68,12.7,Light Snow
57,2,Dayton,Montgomery,OH,22.5,12.4,90.0,29.73,9.2,Light Snow
58,2,Dayton,Montgomery,OH,22.5,12.4,90.0,29.73,9.2,Light Snow
59,2,Dayton,Montgomery,OH,22.5,12.4,90.0,29.73,9.2,Light Snow
60,3,Columbus,Franklin,OH,24.8,16.1,86.0,29.65,8.1,Light Snow
61,2,Dayton,Montgomery,OH,21.2,8.9,93.0,29.69,12.7,Light Snow
62,2,Waynesville,Warren,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
63,2,Springboro,Warren,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
64,2,Carroll,Fairfield,OH,21.9,10.4,85.0,29.7,11.5,Light Snow
65,3,Miamisburg,Montgomery,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
66,3,Oregonia,Warren,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
67,3,Independence,Cuyahoga,OH,32.0,22.5,82.0,29.58,12.7,Overcast
68,3,Maple Heights,Cuyahoga,OH,32.0,22.5,82.0,29.58,12.7,Overcast
69,3,Grove City,Franklin,OH,21.2,9.5,93.0,29.69,11.5,Overcast
70,2,Findlay,Hancock,OH,27.0,13.5,81.0,29.64,19.6,Light Snow
71,2,Goshen,Clermont,OH,16.2,4.7,81.0,29.95,9.2,Light Snow
72,3,Columbus,Franklin,OH,15.8,2.7,73.0,29.87,11.5,Light Snow
73,2,Columbus,Franklin,OH,15.8,2.7,73.0,29.87,11.5,Light Snow
74,2,Fairborn,Greene,OH,15.4,1.0,82.0,29.95,13.8,Light Snow
75,3,Piqua,Miami,OH,14.0,-1.4,93.0,29.89,15.0,Light Snow
76,3,Columbus,Franklin,OH,15.1,4.2,77.0,29.92,8.1,Light Snow
77,2,New Richmond,Clermont,OH,15.8,6.1,88.0,29.96,6.9,Light Snow
78,2,Columbus,Franklin,OH,16.0,1.7,81.0,29.91,13.8,Light Snow
79,2,Batavia,Clermont,OH,15.8,2.7,84.0,29.97,11.5,Light Snow
80,2,Reynoldsburg,Franklin,OH,16.0,4.4,77.0,29.93,9.2,Light Snow
81,3,Galena,Delaware,OH,17.6,5.0,79.0,29.87,11.5,Haze
82,3,Columbus,Franklin,OH,15.8,3.4,79.0,29.91,10.4,Light Snow
83,3,Columbus,Franklin,OH,17.1,3.0,77.0,29.96,13.8,Light Snow
84,3,Barberton,Summit,OH,19.9,8.6,81.0,29.89,10.4,Light Snow
85,3,Akron,Summit,OH,19.9,7.3,78.0,29.87,12.7,Light Snow
86,3,Mansfield,Richland,OH,16.0,2.9,77.0,29.97,11.5,Overcast
87,3,Cleveland,Cuyahoga,OH,14.0,0.5,56.0,30.14,11.5,Light Snow
88,3,Akron,Summit,OH,14.0,1.2,74.0,30.03,10.4,Light Snow
89,2,Dayton,Montgomery,OH,7.0,-5.7,87.0,30.22,8.1,Scattered Clouds
90,2,Bethel,Clermont,OH,15.4,,70.0,30.18,,Overcast
91,3,Cleveland,Cuyahoga,OH,17.1,-0.3,59.0,30.12,21.9,Overcast
92,2,Columbus,Franklin,OH,6.1,-6.8,83.0,30.22,8.1,Partly Cloudy
93,2,Canal Winchester,Franklin,OH,5.0,-2.1,81.0,30.2,3.5,Clear
94,3,Akron,Summit,OH,12.0,0.5,80.0,30.08,8.1,Light Snow
95,2,Pataskala,Licking,OH,7.0,,77.0,30.24,,Overcast
96,3,Cleveland,Cuyahoga,OH,15.1,-1.6,51.0,30.18,18.4,Mostly Cloudy
97,2,Dayton,Montgomery,OH,9.0,,77.0,30.26,,Clear
98,2,Dayton,Montgomery,OH,7.5,-1.1,87.0,30.28,4.6,Scattered Clouds
99,2,Dayton,Montgomery,OH,7.5,-1.1,87.0,30.28,4.6,Scattered Clouds
