ID,Severity,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Weather_Condition
41,2,Dayton,Montgomery,OH,23.0,12.4,86.0,29.71,10.4,Light Snow
42,2,Sabina,Clinton,OH,19.9,6.7,89.0,29.75,13.8,Light Snow
43,3,Columbus,Franklin,OH,25.0,15.5,88.0,29.65,9.2,Light Snow
44,3,Dayton,Montgomery,OH,23.0,10.1,88.0,29.66,15.0,Light Snow
45,3,Columbus,Franklin,OH,25.0,15.5,88.0,29.65,9.2,Light Snow
46,2,Columbus,Franklin,OH,26.1,15.0,84.0,29.63,12.7,Light Snow
47,3,Columbus,Franklin,OH,24.8,16.1,86.0,29.64,8.1,Light Snow
48,2,Dayton,Montgomery,OH,23.0,11.7,86.0,29.68,11.5,Light Snow
49,3,Dayton,Montgomery,OH,23.0,11.7,86.0,29.68,11.5,Light Snow
50,2,Dayton,Montgomery,OH,21.9,9.8,92.0,29.71,12.7,Light Snow
51,2,Dayton,Montgomery,OH,21.9,9.8,92.0,29.71,12.7,Light Snow
52,3,Dayton,Montgomery,OH,21.9,9.8,92.0,29.71,12.7,Light Snow
53,3,Columbus,Franklin,OH,21.2,8.3,93.0,29.66,13.8,Light Snow
54,3,Dayton,Montgomery,OH,21.0,10.6,85.0,29.69,9.2,Light Snow
55,2,Goshen,Clermont,OH,21.0,10.6,93.0,29.73,9.2,Light Snow
56,2,Dayton,Montgomery,OH,21.9,9.8,92.0,29.68,12.7,Light Snow
57,2,Dayton,Montgomery,OH,22.5,12.4,90.0,29.73,9.2,Light Snow
58,2,Dayton,Montgomery,OH,22.5,12.4,90.0,29.73,9.2,Light Snow
59,2,Dayton,Montgomery,OH,22.5,12.4,90.0,29.73,9.2,Light Snow
60,3,Columbus,Franklin,OH,24.8,16.1,86.0,29.65,8.1,Light Snow
61,2,Dayton,Montgomery,OH,21.2,8.9,93.0,29.69,12.7,Light Snow
62,2,Waynesville,Warren,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
63,2,Springboro,Warren,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
64,2,Carroll,Fairfield,OH,21.9,10.4,85.0,29.7,11.5,Light Snow
65,3,Miamisburg,Montgomery,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
66,3,Oregonia,Warren,OH,21.0,10.6,81.0,29.7,9.2,Light Snow
67,3,Independence,Cuyahoga,OH,32.0,22.5,82.0,29.58,12.7,Overcast
68,3,Maple Heights,Cuyahoga,OH,32.0,22.5,82.0,29.58,12.7,Overcast
69,3,Grove City,Franklin,OH,21.2,9.5,93.0,29.69,11.5,Overcast
70,2,Findlay,Hancock,OH,27.0,13.5,81.0,29.64,19.6,Light Snow
71,2,Goshen,Clermont,OH,16.2,4.7,81.0,29.95,9.2,Light Snow
72,3,Columbus,Franklin,OH,15.8,2.7,73.0,29.87,11.5,Light Snow
73,2,Columbus,Franklin,OH,15.8,2.7,73.0,29.87,11.5,Light Snow
74,2,Fairborn,Greene,OH,15.4,1.0,82.0,29.95,13.8,Light Snow
75,3,Piqua,Miami,OH,14.0,-1.4,93.0,29.89,15.0,Light Snow
76,3,Columbus,Franklin,OH,15.1,4.2,77.0,29.92,8.1,Light Snow
77,2,New Richmond,Clermont,OH,15.8,6.1,88.0,29.96,6.9,Light Snow
78,2,Columbus,Franklin,OH,16.0,1.7,81.0,29.91,13.8,Light Snow
79,2,Batavia,Clermont,OH,15.8,2.7,84.0,29.97,11.5,Light Snow
80,2,Reynoldsburg,Franklin,OH,16.0,4.4,77.0,29.93,9.2,Light Snow
81,3,Galena,Delaware,OH,17.6,5.0,79.0,29.87,11.5,Haze
82,3,Columbus,Franklin,OH,15.8,3.4,79.0,29.91,10.4,Light Snow
83,3,Columbus,Franklin,OH,17.1,3.0,77.0,29.96,13.8,Light Snow
84,3,Barberton,Summit,OH,19.9,8.6,81.0,29.89,10.4,Light Snow
85,3,Akron,Summit,OH,19.9,7.3,78.0,29.87,12.7,Light Snow
86,3,Mansfield,Richland,OH,16.0,2.9,77.0,29.97,11.5,Overcast
87,3,Cleveland,Cuyahoga,OH,14.0,0.5,56.0,30.14,11.5,Light Snow
88,3,Akron,Summit,OH,14.0,1.2,74.0,30.03,10.4,Light Snow
89,2,Dayton,Montgomery,OH,7.0,-5.7,87.0,30.22,8.1,Scattered Clouds
90,2,Bethel,Clermont,OH,15.4,,70.0,30.18,,Overcast
91,3,Cleveland,Cuyahoga,OH,17.1,-0.3,59.0,30.12,21.9,Overcast
92,2,Columbus,Franklin,OH,6.1,-6.8,83.0,30.22,8.1,Partly Cloudy
93,2,Canal Winchester,Franklin,OH,5.0,-2.1,81.0,30.2,3.5,Clear
94,3,Akron,Summit,OH,12.0,0.5,80.0,30.08,8.1,Light Snow
95,2,Pataskala,Licking,OH,7.0,,77.0,30.24,,Overcast
96,3,Cleveland,Cuyahoga,OH,15.1,-1.6,51.0,30.18,18.4,Mostly Cloudy
97,2,Dayton,Montgomery,OH,9.0,,77.0,30.26,,Clear
98,2,Dayton,Montgomery,OH,7.5,-1.1,87.0,30.28,4.6,Scattered Clouds
99,2,Dayton,Montgomery,OH,7.5,-1.1,87.0,30.28,4.6,Scattered Clouds
100,2,Columbus,Franklin,OH,12.0,2.7,70.0,30.27,5.8,Overcast
101,2,Columbus,Franklin,OH,12.0,1.5,77.0,30.26,6.9,Overcast
102,3,Maple Heights,Cuyahoga,OH,18.0,-0.2,54.0,30.16,25.3,Overcast
103,2,Dayton,Montgomery,OH,12.0,,73.0,30.28,,Clear
104,2,Dayton,Montgomery,OH,10.9,0.2,77.0,30.29,6.9,Mostly Cloudy
105,2,Dayton,Montgomery,OH,13.6,7.7,74.0,30.32,3.5,Overcast
106,3,Columbus,Franklin,OH,10.4,2.2,78.0,30.25,4.6,Overcast
107,2,Dayton,Montgomery,OH,13.6,7.7,74.0,30.32,3.5,Overcast
108,2,Dayton,Montgomery,OH,18.0,6.1,68.0,30.32,10.4,Mostly Cloudy
109,2,Dayton,Montgomery,OH,18.0,8.7,54.0,30.31,6.9,Clear
110,2,Dayton,Montgomery,OH,18.5,7.5,62.0,30.32,9.2,Mostly Cloudy
111,2,Dayton,Montgomery,OH,19.9,9.3,65.0,30.32,9.2,Mostly Cloudy
112,2,Dayton,Montgomery,OH,19.9,9.3,65.0,30.32,9.2,Mostly Cloudy
113,2,Dayton,Montgomery,OH,21.6,13.0,49.0,30.3,6.9,Mostly Cloudy
114,2,Dayton,Montgomery,OH,21.6,13.0,49.0,30.3,6.9,Mostly Cloudy
115,2,Dayton,Montgomery,OH,21.0,14.6,57.0,30.32,4.6,Mostly Cloudy
116,2,Dayton,Montgomery,OH,21.0,11.4,57.0,30.33,8.1,Mostly Cloudy
117,3,Dayton,Montgomery,OH,21.0,11.4,57.0,30.33,8.1,Mostly Cloudy
118,2,Dayton,Montgomery,OH,21.0,11.4,51.0,30.34,8.1,Mostly Cloudy
119,3,Columbus,Franklin,OH,19.0,,57.0,30.34,,Light Snow
120,3,Columbus,Franklin,OH,17.1,11.7,62.0,30.35,3.5,Mostly Cloudy
121,3,Dayton,Montgomery,OH,17.1,,68.0,30.35,,Scattered Clouds
122,2,Dayton,Montgomery,OH,26.6,14.3,59.0,30.04,16.1,Light Snow
123,2,Dayton,Montgomery,OH,25.5,12.9,66.0,30.11,16.1,Light Snow
124,3,Columbus,Franklin,OH,23.0,11.1,80.0,30.03,12.7,Light Snow
125,3,Columbus,Franklin,OH,19.0,1.6,71.0,30.14,24.2,Light Snow
126,3,Columbus,Franklin,OH,19.0,1.6,71.0,30.14,24.2,Light Snow
127,3,Columbus,Franklin,OH,19.9,3.2,62.0,30.13,23.0,Scattered Clouds
128,3,Columbus,Franklin,OH,16.0,1.7,68.0,30.25,13.8,Mostly Cloudy
129,3,Columbus,Franklin,OH,10.0,-4.5,44.0,30.54,11.5,Partly Cloudy
130,3,Seville,Medina,OH,8.1,-8.4,61.0,30.48,13.8,Scattered Clouds
131,2,Bellville,Richland,OH,7.0,-8.3,58.0,30.49,11.5,Clear
132,3,Troy,Miami,OH,10.9,-1.8,51.0,30.57,9.2,Scattered Clouds
133,3,Columbus,Franklin,OH,12.9,-3.4,43.0,30.53,16.1,Mostly Cloudy
134,3,Columbus,Franklin,OH,12.9,-3.4,43.0,30.53,16.1,Mostly Cloudy
135,3,Columbus,Franklin,OH,10.0,0.4,70.0,30.52,5.8,Scattered Clouds
136,3,Columbus,Franklin,OH,12.9,-0.2,65.0,30.5,10.4,Scattered Clouds
137,3,Columbus,Franklin,OH,12.9,-0.2,65.0,30.5,10.4,Scattered Clouds
138,3,Columbus,Franklin,OH,15.8,3.4,79.0,30.24,10.4,Snow
139,3,Columbus,Franklin,OH,17.6,,86.0,30.23,,Light Snow
140,2,Wilmington,Clinton,OH,23.0,13.9,96.0,30.09,8.1,Overcast
141,2,Miamisburg,Montgomery,OH,23.0,13.9,92.0,29.97,8.1,Overcast
142,3,Columbus,Franklin,OH,21.9,14.5,89.0,30.06,5.8,Light Freezing Drizzle
143,3,Columbus,Franklin,OH,22.8,13.6,96.0,30.02,8.1,Light Snow
144,2,Columbus,Franklin,OH,23.0,15.8,86.0,30.03,5.8,Light Freezing Drizzle
145,3,Dayton,Montgomery,OH,23.0,15.8,96.0,30.03,5.8,Light Freezing Drizzle
146,2,Dayton,Montgomery,OH,24.1,17.0,98.0,30.04,5.8,Light Snow
147,3,Grove City,Franklin,OH,24.8,17.9,100.0,30.01,5.8,Light Snow
148,3,Dayton,Montgomery,OH,24.8,,100.0,30.04,2.3,Light Freezing Drizzle
149,2,Dayton,Montgomery,OH,24.1,18.2,96.0,30.02,4.6,Light Freezing Drizzle
150,2,Cleveland,Cuyahoga,OH,21.0,9.3,85.0,30.1,11.5,Light Snow
151,3,Dayton,Montgomery,OH,24.1,18.2,96.0,30.02,4.6,Light Freezing Drizzle
152,3,Dayton,Montgomery,OH,26.1,17.6,92.0,30.01,8.1,Overcast
153,2,Columbus,Franklin,OH,24.1,17.0,91.0,30.06,5.8,Light Freezing Drizzle
154,2,Dayton,Montgomery,OH,25.0,17.1,96.0,29.99,6.9,Overcast
155,2,Westerville,Franklin,OH,24.1,17.0,91.0,30.06,5.8,Light Freezing Drizzle
156,2,Akron,Summit,OH,23.0,15.8,85.0,30.03,5.8,Overcast
157,2,Columbus,Franklin,OH,26.1,19.4,88.0,30.06,5.8,Light Freezing Drizzle
158,2,Dayton,Montgomery,OH,27.0,23.0,98.0,30.04,3.5,Light Freezing Drizzle
159,2,Dayton,Montgomery,OH,32.0,26.4,100.0,29.99,5.8,Overcast
160,2,Pataskala,Licking,OH,32.0,24.8,85.0,29.99,8.1,Overcast
161,2,Dayton,Montgomery,OH,32.0,26.4,100.0,29.98,5.8,Overcast
162,2,Columbus,Franklin,OH,30.9,23.5,89.0,29.99,8.1,Mostly Cloudy
163,1,North Olmsted,Cuyahoga,OH,33.1,27.7,82.0,29.95,5.8,Overcast
164,2,Groveport,Franklin,OH,33.6,30.6,94.0,29.86,3.5,Light Drizzle
165,3,Orient,Franklin,OH,32.9,,100.0,29.86,,Overcast
166,2,Tiro,Crawford,OH,32.0,26.4,100.0,29.88,5.8,Fog
167,3,Columbus,Franklin,OH,32.0,24.8,100.0,29.71,8.1,Light Snow
168,3,Akron,Summit,OH,34.0,28.0,89.0,29.67,6.9,Light Snow
169,3,Orient,Franklin,OH,32.2,25.8,100.0,29.7,6.9,Light Snow
170,2,Canal Winchester,Franklin,OH,32.0,26.4,99.0,29.69,5.8,Light Snow
171,3,Columbus,Franklin,OH,33.1,26.1,96.0,29.71,8.1,Overcast
172,3,Dublin,Franklin,OH,33.1,26.1,96.0,29.71,8.1,Overcast
173,2,Columbus,Franklin,OH,32.0,23.0,96.0,29.71,11.5,Overcast
174,2,Columbus,Franklin,OH,32.0,23.6,92.0,29.71,10.4,Overcast
175,2,Dayton,Montgomery,OH,30.9,22.2,96.0,29.78,10.4,Overcast
176,3,Columbus,Franklin,OH,32.2,25.8,100.0,29.69,6.9,Overcast
177,3,Strongsville,Cuyahoga,OH,32.0,24.8,92.0,29.73,8.1,Light Snow
178,2,Beavercreek,Montgomery,OH,32.0,24.8,88.0,29.76,8.1,Overcast
179,2,Groveport,Franklin,OH,32.0,24.8,99.0,29.7,8.1,Overcast
180,3,Columbus,Franklin,OH,32.0,25.6,100.0,29.72,6.9,Overcast
181,2,Circleville,Pickaway,OH,32.0,23.6,99.0,29.71,10.4,Overcast
182,2,Grove City,Franklin,OH,32.0,25.6,100.0,29.72,6.9,Overcast
183,2,Dayton,Montgomery,OH,30.0,21.1,100.0,29.75,10.4,Overcast
184,3,Columbus,Franklin,OH,32.0,24.2,96.0,29.75,9.2,Overcast
185,2,Mansfield,Richland,OH,30.0,21.1,100.0,29.73,10.4,Overcast
186,3,Akron,Summit,OH,34.0,28.0,89.0,29.68,6.9,Light Snow
187,3,Columbus,Franklin,OH,32.0,24.8,88.0,29.75,8.1,Overcast
188,2,Columbus,Franklin,OH,32.0,24.2,96.0,29.75,9.2,Overcast
189,2,Peebles,Adams,OH,30.9,22.8,100.0,29.76,9.2,Overcast
190,3,Columbus,Franklin,OH,32.0,28.7,100.0,29.77,3.5,Overcast
191,2,Dayton,Montgomery,OH,30.0,23.2,96.0,29.79,6.9,Overcast
192,3,Columbus,Franklin,OH,32.0,24.8,88.0,29.78,8.1,Overcast
193,2,Canal Winchester,Franklin,OH,32.0,26.4,97.0,29.76,5.8,Overcast
194,2,Columbus,Franklin,OH,32.0,26.4,96.0,29.78,5.8,Overcast
195,2,Columbus,Franklin,OH,33.1,24.9,92.0,29.77,10.4,Overcast
196,2,Dayton,Greene,OH,31.1,25.4,88.0,29.86,5.8,Overcast
197,2,Dayton,Montgomery,OH,30.9,22.8,76.0,29.81,9.2,Haze
198,2,Dayton,Montgomery,OH,30.0,24.1,92.0,29.82,5.8,Light Snow
199,2,Dayton,Montgomery,OH,31.1,25.4,88.0,29.86,5.8,Overcast
200,2,Dayton,Montgomery,OH,31.1,25.4,88.0,29.86,5.8,Overcast
201,3,Dublin,Franklin,OH,32.0,23.0,92.0,29.78,11.5,Overcast
202,3,Hurricane,Putnam,WV,35.1,27.9,89.0,29.81,9.2,Overcast
203,2,Dayton,Montgomery,OH,32.4,25.3,79.0,29.81,8.1,Overcast
204,3,Columbus,Franklin,OH,32.0,24.2,75.0,29.82,9.2,Overcast
205,2,Xenia,Greene,OH,30.4,26.9,90.0,30.08,3.5,Overcast
206,2,Dayton,Montgomery,OH,30.0,23.2,88.0,30.07,6.9,Overcast
207,2,Columbus,Franklin,OH,28.4,21.2,80.0,30.05,6.9,Overcast
208,2,Bethel,Clermont,OH,30.9,27.5,91.0,30.07,3.5,Overcast
209,2,Akron,Summit,OH,28.0,21.7,81.0,30.03,5.8,Overcast
210,3,Elyria,Lorain,OH,28.0,20.8,85.0,30.03,6.9,Overcast
211,3,Dayton,Montgomery,OH,30.0,24.1,82.0,30.07,5.8,Haze
212,3,Akron,Summit,OH,28.0,21.7,81.0,30.03,5.8,Overcast
213,2,Dayton,Montgomery,OH,30.0,22.4,92.0,30.14,8.1,Overcast
214,3,Pickerington,Fairfield,OH,30.0,26.5,79.0,30.08,3.5,Overcast
215,2,Dayton,Montgomery,OH,30.0,25.2,85.0,30.12,4.6,Overcast
216,2,Bethel,Clermont,OH,31.1,24.5,92.0,30.11,6.9,Overcast
217,2,Westerville,Franklin,OH,30.2,23.4,75.0,30.08,6.9,Haze
218,3,Barberton,Summit,OH,28.0,22.8,81.0,30.06,4.6,Haze
219,2,Dayton,Montgomery,OH,30.7,24.9,90.0,30.14,5.8,Overcast
220,2,Dayton,Montgomery,OH,30.7,24.9,90.0,30.14,5.8,Overcast
221,3,Barberton,Summit,OH,28.4,21.2,80.0,30.02,6.9,Haze
222,2,Burbank,Wayne,OH,27.0,18.0,85.0,30.08,9.2,Overcast
223,3,Independence,Cuyahoga,OH,30.0,21.1,82.0,30.05,10.4,Light Snow
224,2,Dayton,Montgomery,OH,30.0,22.4,96.0,30.18,8.1,Overcast
225,3,Dayton,Montgomery,OH,31.1,25.4,92.0,30.18,5.8,Overcast
226,2,Dayton,Montgomery,OH,32.0,26.4,88.0,30.2,5.8,Overcast
227,3,Zanesville,Muskingum,OH,33.1,27.7,72.0,30.16,5.8,Haze
228,2,Dayton,Montgomery,OH,32.0,26.4,82.0,30.18,5.8,Haze
229,2,North Baltimore,Wood,OH,33.1,23.9,82.0,30.14,12.7,Haze
230,2,Miamisburg,Montgomery,OH,35.1,32.2,67.0,30.23,3.5,Overcast
231,2,Dayton,Montgomery,OH,36.0,28.5,59.0,30.23,10.4,Mostly Cloudy
232,2,Columbus,Franklin,OH,35.1,26.4,61.0,30.26,12.7,Overcast
233,2,Columbus,Franklin,OH,31.1,27.7,69.0,30.39,3.5,Overcast
234,2,Dayton,Montgomery,OH,27.0,,81.0,30.45,,Mostly Cloudy
235,2,Cleveland,Cuyahoga,OH,19.0,11.1,71.0,30.52,5.8,Clear
236,3,Pickerington,Fairfield,OH,28.0,21.7,78.0,30.48,5.8,Overcast
237,3,Akron,Summit,OH,3.9,,91.0,30.49,,Clear
238,3,Mount Sterling,Madison,OH,23.0,,86.0,30.48,,Mostly Cloudy
239,3,Cleveland,Cuyahoga,OH,12.9,6.9,88.0,30.58,3.5,Clear
240,3,Cleveland,Cuyahoga,OH,12.9,6.9,88.0,30.58,3.5,Clear
241,3,Dayton,Montgomery,OH,26.1,,81.0,30.5,,Haze
242,2,Dayton,Montgomery,OH,25.9,,86.0,30.5,,Mostly Cloudy
243,3,Columbus,Franklin,OH,27.0,23.0,75.0,30.51,3.5,Scattered Clouds
244,2,Miamisburg,Montgomery,OH,27.0,23.0,78.0,30.48,3.5,Haze
245,2,Dayton,Montgomery,OH,25.9,,86.0,30.5,,Mostly Cloudy
246,2,Dayton,Montgomery,OH,25.9,,86.0,30.5,,Mostly Cloudy
247,3,Columbus,Franklin,OH,27.0,23.0,75.0,30.51,3.5,Scattered Clouds
248,3,Cleveland,Cuyahoga,OH,16.0,6.3,81.0,30.62,6.9,Clear
249,2,Dayton,Montgomery,OH,28.9,,75.0,30.5,,Haze
250,2,Dayton,Montgomery,OH,30.9,27.5,79.0,30.51,3.5,Haze
251,3,Cleveland,Cuyahoga,OH,16.0,6.3,81.0,30.62,6.9,Clear
252,2,Columbus,Franklin,OH,27.0,19.5,85.0,30.53,6.9,Clear
253,2,Dayton,Montgomery,OH,30.4,,82.0,30.52,,Mostly Cloudy
254,3,Columbus,Franklin,OH,26.6,,80.0,30.5,,Clear
255,2,Cleveland,Cuyahoga,OH,16.0,6.3,81.0,30.62,6.9,Clear
256,3,Columbus,Franklin,OH,30.0,23.2,72.0,30.53,6.9,Mostly Cloudy
257,3,Cleveland,Cuyahoga,OH,21.9,12.5,63.0,30.62,8.1,Clear
258,3,Cleveland,Cuyahoga,OH,21.9,12.5,63.0,30.62,8.1,Clear
259,3,Independence,Cuyahoga,OH,24.1,17.0,62.0,30.59,5.8,Clear
260,2,Dayton,Montgomery,OH,30.4,,82.0,30.52,,Mostly Cloudy
261,3,Mount Sterling,Madison,OH,32.0,26.4,75.0,30.51,5.8,Scattered Clouds
262,3,Dayton,Montgomery,OH,39.0,33.4,60.0,30.53,8.1,Mostly Cloudy
263,2,Beavercreek,Montgomery,OH,37.9,31.5,57.0,30.47,9.2,Clear
264,2,Dayton,Montgomery,OH,39.9,33.4,53.0,30.45,10.4,Mostly Cloudy
265,2,Dayton,Montgomery,OH,39.9,33.4,53.0,30.45,10.4,Mostly Cloudy
266,2,Dayton,Montgomery,OH,39.9,33.4,53.0,30.45,10.4,Mostly Cloudy
267,3,Tipp City,Miami,OH,37.9,28.2,60.0,30.41,18.4,Overcast
268,2,Dayton,Montgomery,OH,37.9,28.9,55.0,30.41,16.1,Clear
269,3,Columbus,Franklin,OH,35.1,29.3,57.0,30.47,6.9,Overcast
270,2,Columbus,Franklin,OH,36.0,28.5,59.0,30.43,10.4,Clear
271,2,Dayton,Montgomery,OH,39.9,30.8,63.0,30.13,18.4,Overcast
272,2,Moraine,Montgomery,OH,39.9,32.9,60.0,30.12,11.5,Clear
273,2,Columbus,Franklin,OH,35.4,28.4,68.0,30.18,9.2,Clear
274,3,Columbus,Franklin,OH,34.9,27.1,70.0,30.16,10.4,Clear
275,2,Columbus,Franklin,OH,35.4,29.7,68.0,30.15,6.9,Clear
276,2,Batavia,Clermont,OH,43.5,37.1,57.0,30.11,12.7,Clear
277,2,Dayton,Montgomery,OH,41.0,34.7,61.0,30.1,10.4,Clear
278,2,Columbus,Franklin,OH,36.0,27.5,57.0,30.16,12.7,Mostly Cloudy
279,2,Johnstown,Licking,OH,37.0,28.9,57.0,30.15,12.7,Overcast
280,2,Dayton,Montgomery,OH,42.8,37.0,60.0,30.08,10.4,Mostly Cloudy
281,2,Hilliard,Franklin,OH,37.0,29.3,62.0,30.12,11.5,Clear
282,2,Hilliard,Franklin,OH,37.0,29.3,62.0,30.12,11.5,Clear
283,3,Dayton,Greene,OH,42.8,37.0,60.0,30.08,10.4,Mostly Cloudy
284,2,Bowling Green,Wood,OH,43.0,34.5,53.0,29.98,19.6,Clear
285,3,Columbus,Franklin,OH,37.0,28.9,57.0,30.15,12.7,Overcast
286,2,Dayton,Montgomery,OH,47.7,,52.0,30.06,17.3,Overcast
287,2,Dayton,Montgomery,OH,48.0,,52.0,30.03,27.6,Overcast
288,2,Dayton,Montgomery,OH,47.7,,52.0,30.06,17.3,Overcast
289,2,Dayton,Montgomery,OH,49.6,,50.0,30.03,23.0,Overcast
290,2,Dayton,Montgomery,OH,53.8,,45.0,29.97,25.3,Mostly Cloudy
291,2,Dayton,Montgomery,OH,57.0,,44.0,29.91,27.6,Scattered Clouds
292,2,Dayton,Montgomery,OH,57.0,,44.0,29.91,27.6,Scattered Clouds
293,2,Dayton,Montgomery,OH,59.4,,37.0,29.93,29.9,Clear
294,2,Dayton,Montgomery,OH,59.4,,37.0,29.93,29.9,Clear
295,3,Galena,Delaware,OH,46.4,39.2,57.0,29.95,18.4,Clear
296,2,Dublin,Franklin,OH,57.0,,47.0,29.81,21.9,Overcast
297,2,Columbus,Franklin,OH,57.0,,47.0,29.81,21.9,Overcast
298,2,Dayton,Montgomery,OH,65.1,,34.0,29.79,24.2,Clear
299,2,Dayton,Montgomery,OH,65.1,,34.0,29.79,24.2,Clear
300,3,Columbus,Franklin,OH,57.0,,49.0,29.82,15.0,Clear
301,2,Dayton,Montgomery,OH,29.5,23.4,94.0,30.14,5.8,Clear
302,2,Bowling Green,Wood,OH,28.0,21.7,85.0,30.21,5.8,Clear
303,2,Reynoldsburg,Franklin,OH,30.9,27.5,82.0,30.16,3.5,Partly Cloudy
304,2,Columbus,Franklin,OH,30.9,27.5,82.0,30.16,3.5,Partly Cloudy
305,2,Canal Winchester,Franklin,OH,32.0,26.4,91.0,30.15,5.8,Overcast
306,2,Dayton,Montgomery,OH,28.4,,93.0,30.17,2.3,Shallow Fog
307,3,Pickerington,Fairfield,OH,33.1,26.9,85.0,30.17,6.9,Overcast
308,2,Columbus,Franklin,OH,28.9,25.2,96.0,30.18,3.5,Clear
309,2,Dayton,Montgomery,OH,27.9,24.0,97.0,30.18,3.5,Clear
310,2,Dayton,Montgomery,OH,27.9,24.0,97.0,30.18,3.5,Clear
311,2,Columbus,Franklin,OH,32.0,,82.0,30.17,,Partly Cloudy
312,2,Goshen,Clermont,OH,32.5,28.1,94.0,30.14,4.6,Clear
313,3,Columbus,Franklin,OH,28.9,25.2,96.0,30.18,3.5,Clear
314,3,Westerville,Franklin,OH,35.1,30.1,76.0,30.17,5.8,Scattered Clouds
315,2,Maineville,Warren,OH,36.0,33.3,79.0,30.17,3.5,Clear
316,2,Dayton,Montgomery,OH,34.0,26.6,79.0,30.16,9.2,Clear
317,2,Dayton,Montgomery,OH,33.1,26.9,89.0,30.18,6.9,Scattered Clouds
318,2,Dayton,Montgomery,OH,36.0,29.6,82.0,30.18,8.1,Scattered Clouds
